1691.08,66.41425,2.1
1650.01,55.1618,2.06
1706.51,70.64078,2.11
2000.0,72.0,2.5
1707.71,70.97012,2.12
1000.0,60.0,8.0
1200.0,90.0,10.0
1454.71,1.648657467,1.86
1700.66,69.037992,2.11
1707.31,70.86034,2.12
1000.0,60.0,6.0
1641.2,52.74664,2.05
800.0,42.5,6.0
950.0,36.25,6.0
1991.16,148.6359164,2.4
1200.0,80.0,7.0
1731.42,77.46793782,2.14
1677.95,62.81480861,2.09
1644.5,53.65035555,2.05
1977.39,144.8628536,2.39
1962.02,140.6506718,2.37
800.0,30.0,10.0
1000.0,60.0,8.0
1700.0,50.0,7.0
2023.11,157.389621,2.43
1500.0,50.0,5.0
1500.0,40.0,7.0
2015.83,155.3933091,2.43
1600.0,40.0,9.0
1000.0,60.0,8.0
1892.84,121.6958517,2.3
1300.0,85.1,5.81
2008.54,153.3969982,2.42
1100.0,42.5,6.0
950.0,48.75,6.0
1639.19,52.194844,2.05
1636.99,51.59395,2.04
1516.2,18.49738558,1.92
1687.49,65.42938178,2.1
1646.01,54.064,2.05
1200.0,60.0,8.0
1512.2,17.39958558,1.92
1700.28,68.93379322,2.11
1400.0,60.0,8.0
800.0,30.0,6.0
1200.0,90.0,6.0
1731.42,77.46793782,2.14
1792.92,94.31666703,2.2
1673.45,61.58393,2.08
1681.07,63.66975,2.09
1470.08,5.860839221,1.88
1701.1,69.15875,2.11
1656.22,56.86339,2.06
950.0,48.75,6.0
1673.05,61.47415,2.08
1900.53,123.8019426,2.31
1300.0,50.0,3.0
1646.87,54.30093488,2.05
1659.45,57.74740772,2.07
1300.0,40.0,7.0
1000.0,60.0,8.0
1000.0,60.0,8.0
1655.42,56.64383,2.06
1632.04,50.23614485,2.04
1000.0,60.0,8.0
1992.77,149.0750364,2.4
